    1    1.0135900000000000e+03	   9.9901340778815895e-01
    2    5.0779450670389411e+02	   9.9606334180185629e-01
    3    2.5589233204347522e+02	   9.8440688960395106e-01
    4    1.3190521392250815e+02	   9.3997132057120325e-01
    5    7.3633046345516561e+01	   7.9138607553400142e-01
    6    5.0575155339709042e+01	   4.5591339959174837e-01
    7    4.5318954601772184e+01	   1.1598239156494827e-01
    8    4.5014141235706504e+01	   6.7715024145322822e-03
    9    4.5013109213484356e+01	   2.2927148117135587e-05
   10    4.5013109201653691e+01	   2.6282709342240196e-10
   11    4.5013109201653691e+01	   0.0000000000000000e+00
   12    4.5013109201653691e+01	   0.0000000000000000e+00
   13    4.5013109201653691e+01	   0.0000000000000000e+00
   14    4.5013109201653691e+01	   0.0000000000000000e+00
   15    4.5013109201653691e+01	   0.0000000000000000e+00
