0	0.337	0.103	0	0	0.1	4.9876	0	0.04905	0	0	-3.30597	
0.01	0.337	0.103	0.049876	0	0.0995095	4.9876	0	-0.04905	0	0	-3.30597	
0.02	0.337	0.103	0.099752	0	0.098038	4.9876	0	-0.14715	0	0	-3.30597	
0.03	0.337	0.103	0.149628	0	0.0955855	4.9876	0	-0.24525	0	0	-3.30597	
0.04	0.337	0.103	0.199504	0	0.092152	4.9876	0	-0.34335	0	0	-3.30597	
0.05	0.337	0.103	0.24938	0	0.0877375	4.9876	0	-0.44145	0	0	-3.30597	
0.06	0.337	0.103	0.299256	0	0.082342	4.9876	0	-0.53955	0	0	-3.30597	
0.07	0.337	0.103	0.349132	0	0.0759655	4.9876	0	-0.63765	0	0	-3.30597	
0.08	0.337	0.103	0.399008	0	0.068608	4.9876	0	-0.73575	0	0	-3.30597	
0.09	0.337	0.103	0.448884	0	0.0602695	4.9876	0	-0.83385	0	0	-3.30597	
0.1	0.337	0.103	0.49876	0	0.05095	4.9876	0	-0.93195	0	0	-3.30597	
0.11	0.337	0.103	0.548636	0	0.0406495	4.9876	0	-1.03005	0	0	-3.30597	
0.12	0.337	0.103	0.598512	0	0.029368	4.9876	0	-1.12815	0	0	-3.30597	
0.13	0.337	0.103	0.648388	0	0.0171055	4.9876	0	-1.22625	0	0	-3.30597	
0.14	0.337	0.103	0.698264	0	0.003862	4.9876	0	-1.32435	0	0	-3.30597	
0.15	0.337	0.103	0.74814	0	-0.0103625	4.9876	0	-1.42245	0	0	-3.30597	
0.16	0.337	0.103	0.798016	0	-0.025568	4.9876	0	-1.52055	0	0	-3.30597	
0.17	0.337	0.103	0.847892	0	-0.0417545	4.9876	0	-1.61865	0	0	-3.30597	
0.18	0.337	0.103	0.897768	0	-0.058922	4.9876	0	-1.71675	0	0	-3.30597	
0.19	0.337	0.103	0.947644	0	-0.0770705	4.9876	0	-1.81485	0	0	-3.30597	
0.2	0.337	0.103	0.99752	0	-0.0962	4.9876	0	-1.91295	0	0	-3.30597	
