200	1	40	402.547	7.45254
200	2	40	202.596	7.40389
200	4	40	102.697	7.30304
200	8	40	52.9129	7.08712
200	10	40	43.0278	6.97224
200	16	40	28.3972	6.60275
200	20	40	23.6603	6.33975
200	30	40	17.6759	5.65741
200	35	40	16.107	5.32155
200	38	40	15.3998	5.12652
200	40	40	15	5
200	42	40	4.8766	14.6472
200	45	40	4.69778	14.1911
200	48	40	4.52686	13.8065
200	50	40	4.41742	13.5826
200	55	40	4.15961	13.1131
200	80	40	3.16987	11.8301
200	100	40	2.6411	11.3589
200	150	40	1.84879	10.8179
200	200	40	1.41742	10.5826
200	300	40	0.964421	10.3689
200	400	40	0.730304	10.2697
200	500	40	0.587516	10.2125
200	600	40	0.491387	10.1753
200	800	40	0.370195	10.1298
